paper_no,first_author_surname,pub_year,order,family,genus,species,genus_timetree,species_timetree,location,population,data_year,egg_design,source_page,source,trait_cat,trait,simp_trait,units,egg_embryo_hatchling,age,sex,other_factors,const_fluct,T,T_fluc,water_potential,mean,error,N,error_type,data_style,comment_code,comm_text
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head length),Growth rate,mm/day,Hatchling,365,mixed,NA,Const,29.5,0.2,NA,0.042,0.003,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head length),Growth rate,mm/day,Hatchling,496,mixed,NA,Const,29.5,0.2,NA,0.037,0.003,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head length),Growth rate,mm/day,Hatchling,122,mixed,NA,Const,31,0.2,NA,0.035,0.007,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head length),Growth rate,mm/day,Hatchling,243,mixed,NA,Const,31,0.2,NA,0.046,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head length),Growth rate,mm/day,Hatchling,365,mixed,NA,Const,31,0.2,NA,0.044,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head length),Growth rate,mm/day,Hatchling,496,mixed,NA,Const,31,0.2,NA,0.038,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,122,mixed,NA,Const,28,0.2,NA,0.013,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,243,mixed,NA,Const,28,0.2,NA,0.017,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,365,mixed,NA,Const,28,0.2,NA,0.02,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,496,mixed,NA,Const,28,0.2,NA,0.015,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,122,mixed,NA,Const,29.5,0.2,NA,0.022,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,243,mixed,NA,Const,29.5,0.2,NA,0.021,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,365,mixed,NA,Const,29.5,0.2,NA,0.022,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,496,mixed,NA,Const,29.5,0.2,NA,0.018,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,122,mixed,NA,Const,31,0.2,NA,0.021,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,243,mixed,NA,Const,31,0.2,NA,0.023,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,365,mixed,NA,Const,31,0.2,NA,0.015,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (head width),Growth rate,mm/day,Hatchling,496,mixed,NA,Const,31,0.2,NA,0.019,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Incubation,Incubation duration,Incubation duration,days,Hatchling,0,mixed,NA,Const,28,0.2,-1100,128.5,1.5,25,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Incubation,Incubation duration,Incubation duration,days,Hatchling,0,mixed,NA,Const,29.5,0.2,-1100,93.1,1,27,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Incubation,Incubation duration,Incubation duration,days,Hatchling,0,mixed,NA,Const,31,0.2,-150,108.4,0.9,27,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,28,0.2,-150,46.5,4.2,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,28,0.2,-550,54.5,0.6,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,28,0.2,-1100,46.6,4.1,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,29.5,0.2,-150,47.5,2,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,29.5,0.2,-550,45.6,2.8,10,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,29.5,0.2,-1100,51.3,2.7,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,31,0.2,-150,51.1,1.2,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,31,0.2,-550,47.1,4.7,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,Mass,g,Hatchling,0,mixed,NA,Const,31,0.2,-1100,43.4,8.3,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,122,mixed,NA,Const,28,0.2,NA,0.208,0.047,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,243,mixed,NA,Const,28,0.2,NA,0.438,0.073,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,365,mixed,NA,Const,28,0.2,NA,0.638,0.091,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,496,mixed,NA,Const,28,0.2,NA,0.657,0.082,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,122,mixed,NA,Const,29.5,0.2,NA,0.349,0.043,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,243,mixed,NA,Const,29.5,0.2,NA,0.602,0.071,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,365,mixed,NA,Const,29.5,0.2,NA,0.883,0.106,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,496,mixed,NA,Const,29.5,0.2,NA,0.897,0.113,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,122,mixed,NA,Const,31,0.2,NA,0.363,0.035,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,243,mixed,NA,Const,31,0.2,NA,0.702,0.044,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,365,mixed,NA,Const,31,0.2,NA,0.93,0.063,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (mass),Growth rate,g/day,Hatchling,496,mixed,NA,Const,31,0.2,NA,0.932,0.07,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,28,0.2,-150,0.75,NA,9,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,28,0.2,-550,0.67,NA,8,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,28,0.2,-1100,0.33,NA,8,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,29.5,0.2,-150,0.43,NA,9,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,29.5,0.2,-550,0.5,NA,10,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,29.5,0.2,-1100,0.5,NA,8,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,31,0.2,-150,0.57,NA,9,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,31,0.2,-550,0.6,NA,9,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Sex,Sex ratio,Sex ratio,Prop male,Hatchling,0,mixed,NA,Const,31,0.2,-1100,0.83,NA,9,P,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,28,0.2,-150,9.43,0.25,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,28,0.2,-550,9.96,0.18,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,28,0.2,-1100,9.98,0.3,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,29.5,0.2,-150,10.04,0.17,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,29.5,0.2,-550,9.82,0.18,10,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,29.5,0.2,-1100,10.18,0.1,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,31,0.2,-150,10.11,0.11,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,31,0.2,-550,10.02,0.28,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Snout-vent length,Snout-vent length,cm,Hatchling,0,mixed,NA,Const,31,0.2,-1100,9.6,0.43,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,122,mixed,NA,Const,28,0.2,NA,0.014,0.001,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,243,mixed,NA,Const,28,0.2,NA,0.021,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,365,mixed,NA,Const,28,0.2,NA,0.023,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,496,mixed,NA,Const,28,0.2,NA,0.021,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,122,mixed,NA,Const,29.5,0.2,NA,0.022,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,243,mixed,NA,Const,29.5,0.2,NA,0.026,0.002,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guantíçnamo Bay Naval Base, Guantíçnamo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Growth rate (svl),Growth rate,cm/day,Hatchling,365,mixed,NA,Const,29.5,0.2,NA,0.027,0.002,13.67,SE,raw,2,
