"""Citations.csv"" Metadata",,
,,
T_fluc,Numeric,"The total range of temperatures, in degrees Celcius, of the incubation treatment."
,,
water_potential,Numeric,"Water potential of treatment, if specified. Negative integers within this column represent water potential measured in kPa. The other representations of water potential reflect a wetter/drier treatment using the terms used in the manuscript. If water potential was not specified within the paper, or if it was specified using a water to vermiculite ratio, then the uncertainty in specific water potential value was represented using “NA”. "
mean,Numeric,The mean of the phenotypic trait from the incubation treatment
error,Numeric,The error of the phenotypic trait from the incubation treatment
N,Numeric,The sample size of the phenotypic trait from the incubation treatment
error_type,SE,The type of error associated with the data
,SD,“SE”: standard error 
,CI,“SD”: standard deviation
,P,“CI”:  95% confidence intervals 
,NA,"“P”: the data was a proportion of individuals within the treatment, and thus did not have error"
,,“NA”: If the error type was not unspecified
data_style,adj,"Specification if the data were either raw, or adjusted in some way (e.g., residuals, log transformation, etc.). "
,raw,
,,
comment_code,Numeric,"Numbers associated with a comment code to specify particular issues associated about the papers. These were listed in ascending order, separated by a comma followed by a space. The comment codes represent:"
,,1 = other
,,2 = we assumed or calculated N 
,,3 = N reported within the paper is conflicting
,,4 = calculated error from paper
,,5 = assumed error type
,,6 = error uncertain or missing
,,7 = unclear temperature treatment
,,8 = back-calculated hatching success from provided sample sizes
,,9 = data pooled between two+ factors because of presentation or non-significant effects
,,10 = N is missing
,,11 = calculated age
,,12 = assumed trait units through logical deduction
,,13 = potential confounding factors in experimental design
,,14 = unknown trait units
,,"15 = citation was used to get experimental information (sex ratio, etc.)"
,,16=Substantial delay between oviposition and entering treatment
comm_text,Text,"Explanations, if needed, for the comments codes."
